iter	Passed	Remaining
0	60	60114
1	61	30675
2	62	20757
3	63	15785
4	64	12790
5	65	10778
6	65	9339
7	66	8255
8	67	7418
9	68	6782
10	69	6250
11	70	5819
12	71	5455
13	72	5132
14	74	4859
15	74	4607
16	75	4384
17	76	4186
18	77	4009
19	78	3856
20	79	3709
21	80	3565
22	80	3439
23	81	3326
24	82	3225
25	83	3128
26	84	3038
27	85	2954
28	85	2879
29	86	2806
30	87	2737
31	88	2678
32	89	2625
33	90	2567
34	91	2510
35	91	2455
36	92	2406
37	93	2357
38	94	2316
39	94	2271
40	95	2231
41	96	2190
42	96	2155
43	97	2119
44	98	2083
45	98	2047
46	99	2013
47	99	1978
48	100	1947
49	100	1917
50	101	1889
51	102	1861
52	102	1836
53	103	1809
54	103	1783
55	104	1758
56	104	1734
57	105	1711
58	105	1688
59	106	1667
60	106	1645
61	107	1626
62	108	1607
63	108	1589
64	109	1570
65	109	1551
66	110	1532
67	110	1514
68	110	1495
69	111	1480
70	111	1462
71	112	1446
72	112	1431
73	113	1416
74	113	1401
75	114	1388
76	115	1381
77	115	1368
78	116	1354
79	116	1341
80	117	1329
81	117	1317
82	118	1305
83	118	1291
84	118	1280
85	119	1269
86	119	1257
87	120	1246
88	120	1235
89	121	1225
90	121	1214
91	122	1204
92	122	1194
93	123	1185
94	123	1176
95	124	1168
96	124	1160
97	125	1151
98	125	1141
99	125	1131
100	126	1123
101	126	1114
102	126	1105
103	127	1097
104	127	1088
105	128	1080
106	128	1073
107	128	1064
108	129	1056
109	129	1048
110	129	1039
111	130	1032
112	130	1025
113	131	1019
114	131	1012
115	131	1005
116	132	998
117	132	991
118	133	985
119	133	979
120	133	973
121	134	967
122	134	960
123	135	954
124	135	948
125	135	940
126	135	934
127	136	928
128	136	922
129	136	915
130	137	910
131	137	904
132	137	898
133	138	892
134	138	886
135	138	881
136	139	875
137	139	870
138	139	864
139	140	861
140	140	857
141	141	853
142	141	849
143	142	845
144	143	843
145	143	839
146	143	834
147	144	830
148	144	825
149	144	820
150	145	815
151	145	811
152	145	806
153	145	801
154	146	797
155	146	793
156	146	788
157	147	784
158	147	780
159	147	776
160	148	772
161	148	768
162	148	764
163	149	760
164	149	756
165	149	752
166	150	748
167	150	744
168	150	741
169	151	737
170	151	733
171	151	730
172	151	726
173	152	722
174	152	719
175	152	715
176	153	711
177	153	707
178	153	704
179	153	701
180	154	697
181	154	694
182	154	691
183	155	687
184	155	685
185	156	683
186	156	679
187	156	676
188	157	673
189	157	670
190	157	666
191	157	663
192	158	660
193	158	658
194	158	655
195	159	652
196	159	649
197	159	646
198	159	643
199	160	640
200	160	637
201	160	635
202	161	633
203	161	631
204	162	629
205	162	626
206	162	624
207	163	621
208	163	619
209	163	616
210	164	614
211	164	611
212	164	609
213	165	606
214	165	604
215	165	601
216	166	599
217	166	596
218	166	594
219	167	592
220	167	590
221	167	587
222	168	585
223	168	583
224	168	581
225	168	578
226	169	576
227	169	574
228	169	571
229	170	569
230	170	567
231	170	565
232	171	563
233	171	561
234	171	559
235	172	556
236	172	555
237	173	554
238	173	552
239	174	551
240	174	549
241	174	547
242	174	545
243	175	543
244	175	541
245	175	539
246	176	537
247	176	535
248	176	533
249	177	531
250	177	529
251	177	527
252	178	525
253	178	523
254	178	522
255	179	520
256	179	518
257	179	516
258	179	514
259	180	513
260	180	511
261	180	509
262	181	507
263	181	506
264	181	504
265	182	502
266	182	501
267	182	499
268	183	497
269	183	496
270	183	494
271	184	492
272	184	491
273	184	489
274	185	487
275	185	486
276	185	484
277	186	483
278	186	481
279	186	479
280	186	478
281	187	476
282	187	475
283	187	473
284	188	472
285	188	470
286	188	469
287	189	467
288	189	465
289	189	464
290	190	463
291	190	461
292	190	460
293	190	458
294	191	457
295	191	455
296	191	454
297	192	452
298	192	451
299	192	449
300	193	448
301	193	447
302	194	446
303	194	445
304	195	444
305	195	443
306	195	441
307	196	441
308	196	439
309	197	438
310	197	437
311	197	435
312	198	434
313	198	433
314	198	432
315	199	431
316	199	430
317	199	428
318	200	427
319	200	426
320	200	424
321	201	424
322	201	422
323	202	422
324	203	421
325	203	420
326	203	419
327	204	417
328	204	416
329	204	415
330	205	415
